"table_name","asset_class","db_rows","writer_modules","writer_count","reader_count","inbound_fks","api_exposed","log_class","score","status"
"base_api_log","P0_PLATFORM_CORE","39","system","1","0","0","1","1","-1","ELIGIBLE"
"base_print_log","P0_PLATFORM_CORE","21","","1","0","0","1","1","-1","ELIGIBLE"
"BASE_FOUNDER_AUTH_LOG","P0_PLATFORM_CORE","13","","1","0","0","1","1","-1","ELIGIBLE"
"base_schedule_log","P0_PLATFORM_CORE","0","system","1","0","0","1","1","-1","ELIGIBLE"
"base_data_interface_log","P0_PLATFORM_CORE","0","","1","0","0","1","1","-1","ELIGIBLE"
"flow_event_log","P0_PLATFORM_CORE","24","","1","1","0","1","1","0","ELIGIBLE"
"base_time_task_log","P0_PLATFORM_CORE","22","","1","1","0","1","1","0","ELIGIBLE"
"base_sys_log","P0_PLATFORM_CORE","12615","","1","1","0","1","1","0","ELIGIBLE"
"BASE_IR_EDIT_PATCH","P0_PLATFORM_CORE","0","","1","0","0","0","0","0","ELIGIBLE"
"EVAL_METRIC","P0_PLATFORM_CORE","0","","1","0","0","0","0","0","ELIGIBLE"
"BASE_AI_CALL_LOG","P0_PLATFORM_CORE","1502","","1","2","0","1","1","1","ELIGIBLE"
"SYS_PROCESSED_EVENT","P0_PLATFORM_CORE","0","infrastructure","1","1","0","0","0","1","ELIGIBLE"
"base_user_device","P0_PLATFORM_CORE","0","","1","1","0","0","0","1","ELIGIBLE"
"blade_visual","P1_LOWCODE_RUNTIME","77","","1","0","0","1","0","2","ELIGIBLE"
"base_bill_rule","P0_PLATFORM_CORE","61","system","1","0","0","1","0","2","ELIGIBLE"
"BASE_REPORT","P0_PLATFORM_CORE","5","report","1","0","0","1","0","2","ELIGIBLE"
"base_print_template","P0_PLATFORM_CORE","5","","1","0","0","1","0","2","ELIGIBLE"
"blade_visual_component","P1_LOWCODE_RUNTIME","42","","1","0","0","1","0","2","ELIGIBLE"
"blade_visual_db","P1_LOWCODE_RUNTIME","4","","1","0","0","1","0","2","ELIGIBLE"
"base_province_atlas","P0_PLATFORM_CORE","3210","","1","0","0","1","0","2","ELIGIBLE"
"blade_visual_record","P1_LOWCODE_RUNTIME","3","","1","0","0","1","0","2","ELIGIBLE"
"blade_visual_map","P1_LOWCODE_RUNTIME","3","","1","0","0","1","0","2","ELIGIBLE"
"base_advanced_query_scheme","P0_PLATFORM_CORE","2","","1","0","0","1","0","2","ELIGIBLE"
"base_module_link","P0_PLATFORM_CORE","2","","1","0","0","1","0","2","ELIGIBLE"
"base_common_fields","P0_PLATFORM_CORE","10","","1","0","0","1","0","2","ELIGIBLE"
"blade_visual_glob","P1_LOWCODE_RUNTIME","0","","1","0","0","1","0","2","ELIGIBLE"
"base_integrate_task","P0_PLATFORM_CORE","0","inteAssistant","1","0","0","1","0","2","ELIGIBLE"
"base_visual_link","P1_LOWCODE_RUNTIME","0","","1","0","0","1","0","2","ELIGIBLE"
"flow_candidates","P0_PLATFORM_CORE","0","workflow","1","0","0","1","0","2","ELIGIBLE"
"base_time_task","P0_PLATFORM_CORE","0","","1","0","0","1","0","2","ELIGIBLE"
"BASE_AI_PROMPT_TEMPLATE","P0_PLATFORM_CORE","0","","1","0","0","1","0","2","ELIGIBLE"
"base_signature_user","P0_PLATFORM_CORE","0","system","1","0","0","1","0","2","ELIGIBLE"
"base_signature","P0_PLATFORM_CORE","0","","1","0","0","1","0","2","ELIGIBLE"
"flow_task_circulate","P0_PLATFORM_CORE","0","workflow","1","0","0","1","0","2","ELIGIBLE"
"flow_comment","P0_PLATFORM_CORE","0","workflow","1","0","0","1","0","2","ELIGIBLE"
"ai_skill_llm_policy","P0_PLATFORM_CORE","9","","1","1","0","1","0","3","ELIGIBLE"
"base_portal_data","P0_PLATFORM_CORE","9","visualdev","1","1","0","1","0","3","ELIGIBLE"
"base_msg_template_param","P0_PLATFORM_CORE","78","message","1","1","0","1","0","3","ELIGIBLE"
"blade_visual_config","P1_LOWCODE_RUNTIME","77","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_PIPELINE_MESSAGE","P0_PLATFORM_CORE","678","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"flow_task_operator","P0_PLATFORM_CORE","555","workflow","1","1","0","1","0","3","ELIGIBLE"
"inte_assistant_attachment","P0_PLATFORM_CORE","55","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_STUDIO_MENU","P0_PLATFORM_CORE","54","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_MODEL_PROVIDER","P0_PLATFORM_CORE","5","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_MODEL_ROUTING","P0_PLATFORM_CORE","5","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_AGENT_CONFIG","P0_PLATFORM_CORE","5","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_PIPELINE_STAGE_CONFIG","P0_PLATFORM_CORE","5","","1","1","0","1","0","3","ELIGIBLE"
"flow_task_node","P0_PLATFORM_CORE","45","workflow","1","1","0","1","0","3","ELIGIBLE"
"flow_visible","P0_PLATFORM_CORE","41","workflow","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_PIPELINE","P0_PLATFORM_CORE","409","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"ai_seed_templates","P0_PLATFORM_CORE","40","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_account","P0_PLATFORM_CORE","4","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_EVAL_CASE","P0_PLATFORM_CORE","4","","1","1","0","1","0","3","ELIGIBLE"
"ai_skill_runs","P0_PLATFORM_CORE","373","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"ai_projects","P0_PLATFORM_CORE","329","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"ai_route_table","P0_PLATFORM_CORE","328","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_GENERATED_PROJECT","P0_PLATFORM_CORE","328","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_PIPELINE_S2_PROGRESS","P0_PLATFORM_CORE","3","","1","1","0","1","0","3","ELIGIBLE"
"base_integrate","P0_PLATFORM_CORE","3","","1","1","0","1","0","3","ELIGIBLE"
"inte_assistant_deliverable","P0_PLATFORM_CORE","269","inteAssistant","1","1","0","1","0","3","ELIGIBLE"
"base_msg_template","P0_PLATFORM_CORE","26","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_send","P0_PLATFORM_CORE","24","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_send_template","P0_PLATFORM_CORE","23","message","1","1","0","1","0","3","ELIGIBLE"
"base_portal","P0_PLATFORM_CORE","2","system","1","1","0","1","0","3","ELIGIBLE"
"zx_sys_config","P0_PLATFORM_CORE","2","zxdev","1","1","0","1","0","3","ELIGIBLE"
"base_im_reply","P0_PLATFORM_CORE","2","","1","1","0","1","0","3","ELIGIBLE"
"blade_visual_category","P1_LOWCODE_RUNTIME","2","","1","1","0","1","0","3","ELIGIBLE"
"flow_launch_user","P0_PLATFORM_CORE","16","","1","1","0","1","0","3","ELIGIBLE"
"base_msg_monitor","P0_PLATFORM_CORE","147","","1","1","0","1","0","3","ELIGIBLE"
"base_data_interface_user","P0_PLATFORM_CORE","1","system","1","1","0","1","0","3","ELIGIBLE"
"base_data_interface_oauth","P0_PLATFORM_CORE","1","system","1","1","0","1","0","3","ELIGIBLE"
"base_columns_purview","P0_PLATFORM_CORE","1","","1","1","0","1","0","3","ELIGIBLE"
"base_data_interface_variate","P0_PLATFORM_CORE","1","","1","1","0","1","0","3","ELIGIBLE"
"BASE_AI_EVAL_GOLDEN_SET","P0_PLATFORM_CORE","1","","1","1","0","1","0","3","ELIGIBLE"
