File,Class,Method,CC,LOC,Params,NestingDepth,IfCount,SwitchCases,TryCatch,Returns,Calls
application/JNPF.API.Entry/Controllers/LogController.cs,LogController,LogFrontendError,3,9,1,1,0,0,0,1,2
application/JNPF.API.Entry/Extensions/OSSServiceConfigureExtensions.cs,OSSServiceConfigureExtensions,OSSServiceConfigure,1,26,1,0,0,0,0,1,3
application/JNPF.API.Entry/Extensions/SqlSugarConfigureExtensions.cs,SqlSugarConfigureExtensions,SqlSugarConfigure,2,38,1,1,1,0,0,0,17
application/JNPF.API.Entry/Extensions/SqlSugarConfigureExtensions.cs,SqlSugarConfigureExtensions,SetDbConfig,7,27,1,2,4,0,0,0,4
application/JNPF.API.Entry/Extensions/SqlSugarConfigureExtensions.cs,SqlSugarConfigureExtensions,SetDbAop,13,93,2,3,5,0,1,2,40
application/JNPF.API.Entry/Extensions/SqlSugarConfigureExtensions.cs,SqlSugarConfigureExtensions,ConfigureGlobalDataExecuting,11,39,2,2,5,0,0,1,9
application/JNPF.API.Entry/Filters/DiffLogPublishFilter.cs,DiffLogPublishFilter,OnActionExecutionAsync,8,27,2,4,2,0,1,0,5
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,HandleAsync,3,16,1,2,2,0,0,1,6
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,PipelineAsync,1,4,2,0,0,0,0,1,1
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,CheckAuthorzieAsync,10,54,1,1,7,0,0,8,14
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,GetRouteAuthPolicy,2,6,0,0,0,0,0,1,1
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,GetCachedAuthorizedResourcesAsync,5,20,2,2,3,0,0,2,5
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,IsAdministratorCachedAsync,7,24,0,2,4,0,0,3,7
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,IsWhitelistedPath,7,20,1,1,2,0,0,4,10
application/JNPF.API.Entry/Handlers/JwtHandler.cs,JwtHandler,GetCachedPermissionGroupsAsync,6,20,2,2,3,0,0,2,5
application/JNPF.API.Entry/Infrastructure/CachingSwaggerProvider.cs,CachingSwaggerProvider,GetSwagger,1,9,3,0,0,0,0,2,2
application/JNPF.API.Entry/Infrastructure/SerilogBootstrap.cs,SerilogBootstrap,Configure,4,46,1,1,1,0,0,0,16
application/JNPF.API.Entry/Infrastructure/SwaggerServiceExtensions.cs,SwaggerServiceExtensions,AddCachingSwaggerProvider,1,11,1,0,0,0,0,2,5
application/JNPF.API.Entry/Infrastructure/SwaggerServiceExtensions.cs,SwaggerServiceExtensions,WarmupSwagger,2,11,2,1,0,0,1,0,3
application/JNPF.API.Entry/Infrastructure/TraceIdMiddleware.cs,TraceIdMiddleware,InvokeAsync,5,25,1,0,0,0,0,1,10
application/JNPF.API.Entry/Modules/AuthenticationModule.cs,AuthenticationModule,ConfigureServices,7,53,2,2,5,0,0,1,11
application/JNPF.API.Entry/Modules/AuthenticationModule.cs,AuthenticationModule,OnApplicationInitialization,2,47,1,1,0,0,0,0,18
application/JNPF.API.Entry/Modules/DatabaseModule.cs,DatabaseModule,ConfigureServices,3,69,2,2,1,1,0,0,21
