"Module","ProjType","Suffix","File"
"app","business","Service","modularity\app\JNPF.Apps\AppDataService.cs"
"app","business","other","modularity\app\JNPF.Apps\AppVersion.cs"
"app","app","Entity","modularity\app\JNPF.Apps.Entitys\Entity\AppDataEntity.cs"
"codegen","business","Service","modularity\codegen\JNPF.CodeGen\CodeGenService.cs"
"common","business","other","modularity\common\JNPF.Common\Configuration\KeyVariable.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\CLDEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\CLDSEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\EntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\FwCLDEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\FwCLDSEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\IdEntityBase.cs"
"common","business","Entity","modularity\common\JNPF.Common\Contracts\IZxDataTypeEntity.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\SystemCLDSEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\SystemEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\TenantCLDSEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Contracts\TenantEntityBase.cs"
"common","business","other","modularity\common\JNPF.Common\Dtos\OAuth\TenantInterFaceOutput.cs"
"common","business","other","modularity\common\JNPF.Common\Filter\PageResult.cs"
"common","business","other","modularity\common\JNPF.Common\Models\SuperQueryModel.cs"
"common","business","other","modularity\common\JNPF.Common\Models\Authorize\CodeGenAuthorizeModuleResourceModel.cs"
"common","business","Entity","modularity\common\JNPF.Common\Models\Sys\SysDiffLogEntity.cs"
"common","business","Helper","modularity\common\JNPF.Common\Security\CodeGenAuthorizeHelper.cs"
"common","business","Helper","modularity\common\JNPF.Common\Security\CodeGenHelper.cs"
"common","business","Helper","modularity\common\JNPF.Common\Security\SuperQueryHelper.cs"
"common","business","other","modularity\common\JNPF.Common\UnitOfWork\SqlSugarUnitOfWork.cs"
"common","business","other","modularity\common\JNPF.Common.CodeGen\DataParsing\ControlParsing.cs"
"common","business","Helper","modularity\common\JNPF.Common.CodeGen\ExportImport\ExportImportDataHelper.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Bridges\IInteAssistantBridge.cs"
"common","business","other","modularity\common\JNPF.Common.Core\EventBus\IntegreateEventSubscriber.cs"
"common","business","other","modularity\common\JNPF.Common.Core\EventBus\LogEventSubscriber.cs"
"common","business","other","modularity\common\JNPF.Common.Core\EventBus\UserEventSubscriber.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Filter\LogExceptionHandler.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Filter\RequestActionFilter.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Handlers\IMHandler.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Job\DbJobPersistence.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Job\Http\JNPFHttpJob.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\DataBase\DataBaseManager.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\DataBase\IDataBaseManager.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\Tenant\ITenantManager.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\Tenant\TenantManager.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\User\IUserManager.cs"
"common","business","Manager","modularity\common\JNPF.Common.Core\Manager\User\UserManager.cs"
"common","business","other","modularity\common\JNPF.Common.Core\Manager\User\Conditions\ConditionalByTableNameFilter.cs"
