"File","HasEntityAttr","HasRepo","HasClient","HasQueryable","HasAdo","HasFilterable","HasRawSql"
"modularity\app\JNPF.Apps\AppDataService.cs","False","True","True","True","False","False","True"
"modularity\app\JNPF.Apps\AppVersion.cs","False","True","True","True","False","False","False"
"modularity\app\JNPF.Apps.Entitys\Entity\AppDataEntity.cs","True","False","False","False","False","False","False"
"modularity\codegen\JNPF.CodeGen\CodeGenService.cs","False","True","True","True","False","False","False"
"modularity\common\JNPF.Common\Configuration\KeyVariable.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\CLDEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\CLDSEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\EntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\FwCLDEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\FwCLDSEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\IdEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\IZxDataTypeEntity.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\SystemCLDSEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\SystemEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\TenantCLDSEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Contracts\TenantEntityBase.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Dtos\OAuth\TenantInterFaceOutput.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Filter\PageResult.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Models\SuperQueryModel.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Models\Authorize\CodeGenAuthorizeModuleResourceModel.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Models\Sys\SysDiffLogEntity.cs","True","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Security\CodeGenAuthorizeHelper.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Security\CodeGenHelper.cs","False","False","False","False","False","False","False"
"modularity\common\JNPF.Common\Security\SuperQueryHelper.cs","False","False","True","False","True","False","True"
"modularity\common\JNPF.Common\UnitOfWork\SqlSugarUnitOfWork.cs","False","False","True","False","False","False","False"
