table_name,prefix,rows,cols,tenant_style,pk_type,domain,domain_source,classification,write_owner,read_consumers,transaction,evidence
ai_entity_field,ai,824,26,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_ir_events,ai,3780,14,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_ir_fragment_snapshots,ai,782,13,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_projects,ai,329,19,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_route_table,ai,328,10,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_seed_templates,ai,40,9,NONE,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_skill_llm_policy,ai,9,8,NONE,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
ai_skill_runs,ai,373,11,F_TenantId,nvarchar,D10-AI,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_advanced_query_scheme,base,2,18,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_AGENT_CONFIG,BASE,5,19,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_AGENT_SKILL,BASE,0,13,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_CALL_LOG,BASE,1502,25,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_EVAL_CASE,BASE,4,13,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_EVAL_GOLDEN_SET,BASE,1,11,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_EVAL_RUN,BASE,0,20,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_GENERATED_PROJECT,BASE,328,25,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_MCP_CONFIG,BASE,0,15,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_MODEL_PROVIDER,BASE,5,20,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_MODEL_ROUTING,BASE,5,16,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_PIPELINE,BASE,409,38,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_PIPELINE_MESSAGE,BASE,678,20,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_PIPELINE_S2_PROGRESS,BASE,3,20,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_PIPELINE_STAGE_CONFIG,BASE,5,15,NONE,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_PROMPT_TEMPLATE,BASE,0,12,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_SKILL_REVIEW,BASE,0,14,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_AI_UI_TEMPLATE,BASE,0,18,F_TenantId,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_api_log,base,39,38,f_tenant_id,nvarchar,D9-Log,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_app_data,base,0,20,f_tenant_id,nvarchar,TBD-Platform,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_authorize,base,2553,16,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,SHARED,,,,ng1-batch1/db-matrix-raw.tsv
base_bill_rule,base,61,27,f_tenant_id,nvarchar,TBD-BillRule,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_columns_purview,base,1,14,f_tenant_id,nvarchar,D3-Permission,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_common_fields,base,10,18,f_tenant_id,nvarchar,TBD-Platform,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_common_words,base,0,15,f_tenant_id,nvarchar,TBD-Platform,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_data_interface,base,146,27,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_data_interface_log,base,0,19,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_data_interface_oauth,base,1,21,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_data_interface_user,base,1,14,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_data_interface_variate,base,1,15,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_db_link,base,1,23,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_dictionary_data,base,897,20,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,SHARED,,,,ng1-batch1/db-matrix-raw.tsv
base_dictionary_type,base,145,19,f_tenant_id,nvarchar,D6-Dictionary,NG0-prefix-cluster+NG1-db,SHARED,,,,ng1-batch1/db-matrix-raw.tsv
base_file,base,0,16,f_tenant_id,nvarchar,D7-File,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
BASE_FOUNDER_AUTH_LOG,BASE,13,16,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_group,base,1,15,f_tenant_id,nvarchar,D1-Identity,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_im_content,base,9,18,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_im_reply,base,2,15,f_tenant_id,nvarchar,D8-Message,NG0-prefix-cluster+NG1-db,OWNED-PENDING,,,,ng1-batch1/db-matrix-raw.tsv
base_integrate,base,3,20,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_integrate_node,base,0,26,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_integrate_queue,base,0,17,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
base_integrate_task,base,0,23,f_tenant_id,nvarchar,TBD-Integration,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_IR_EDIT_PATCH,BASE,0,17,F_TENANT_ID,bigint,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_IR_VERSION,BASE,0,21,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
BASE_KNOWLEDGE_EDGE,BASE,0,16,F_TENANT_ID,nvarchar,TBD-Base,NG0-prefix-cluster+NG1-db,UNKNOWN,,,,ng1-batch1/db-matrix-raw.tsv
