table_name,rows,cols,tenant_style,pk_type,entity_mapped,in_init_script,code_refs,product_asset_class,platform_role,asset_lifecycle,evidence
ai_entity_field,824,26,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_ir_events,3780,14,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_ir_fragment_snapshots,782,13,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_projects,329,19,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_route_table,328,10,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_seed_templates,40,9,NONE,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_skill_llm_policy,9,8,NONE,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
ai_skill_runs,373,11,F_TenantId,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
base_advanced_query_scheme,2,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_AGENT_CONFIG,5,19,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_AGENT_SKILL,0,13,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_CALL_LOG,1502,25,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_EVAL_CASE,4,13,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_EVAL_GOLDEN_SET,1,11,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_EVAL_RUN,0,20,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_GENERATED_PROJECT,328,25,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_MCP_CONFIG,0,15,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_MODEL_PROVIDER,5,20,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_MODEL_ROUTING,5,16,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_PIPELINE,409,38,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_PIPELINE_MESSAGE,678,20,F_TENANT_ID,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_PIPELINE_S2_PROGRESS,3,20,F_TENANT_ID,nvarchar,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
BASE_AI_PIPELINE_STAGE_CONFIG,5,15,NONE,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_PROMPT_TEMPLATE,0,12,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
BASE_AI_SKILL_REVIEW,0,14,F_TenantId,bigint,Y,N,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; no-init(runtime-created)
BASE_AI_UI_TEMPLATE,0,18,F_TenantId,bigint,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_api_log,39,38,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_app_data,0,20,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_authorize,2553,16,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_bill_rule,61,27,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_columns_purview,1,14,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_common_fields,10,18,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_common_words,0,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_data_interface,146,27,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_data_interface_log,0,19,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_data_interface_oauth,1,21,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_data_interface_user,1,14,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_data_interface_variate,1,15,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
base_db_link,1,23,f_tenant_id,nvarchar,Y,Y,,P0_PLATFORM_CORE,CORE,MANDATORY,entity:SugarTable; init:ZXAFINIT.sql
