table_name	access_modules	write_owner_modules	read_consumer_modules
AI_ENTITY_FIELD		inteAssistant;other	inteAssistant;other
AI_IR_EVENTS		other	inteAssistant;other
AI_IR_FRAGMENT_SNAPSHOTS		inteAssistant	inteAssistant;other
AI_PROJECTS		inteAssistant	inteAssistant
AI_ROUTE_TABLE		inteAssistant	inteAssistant
AI_SEED_TEMPLATES			inteAssistant
AI_SKILL_LLM_POLICY			inteAssistant
AI_SKILL_RUNS		inteAssistant	inteAssistant
BASE_ADVANCED_QUERY_SCHEME	system		
BASE_AI_AGENT_CONFIG		inteAssistant	inteAssistant
BASE_AI_AGENT_SKILL		inteAssistant	inteAssistant
BASE_AI_CALL_LOG	inteAssistant		inteAssistant;JNPF.API.Entry
BASE_AI_EVAL_CASE			inteAssistant
BASE_AI_EVAL_GOLDEN_SET			inteAssistant
BASE_AI_EVAL_RUN		inteAssistant	inteAssistant
BASE_AI_GENERATED_PROJECT		inteAssistant	inteAssistant
BASE_AI_MCP_CONFIG			inteAssistant
BASE_AI_MODEL_PROVIDER		inteAssistant	inteAssistant
BASE_AI_MODEL_ROUTING		inteAssistant	inteAssistant
BASE_AI_PIPELINE		inteAssistant	inteAssistant
BASE_AI_PIPELINE_MESSAGE		inteAssistant	inteAssistant
BASE_AI_PIPELINE_S2_PROGRESS			inteAssistant
BASE_AI_PIPELINE_STAGE_CONFIG			inteAssistant
BASE_AI_PROMPT_TEMPLATE	inteAssistant		
BASE_AI_SKILL_REVIEW			inteAssistant
BASE_AI_UI_TEMPLATE		inteAssistant	inteAssistant
BASE_API_LOG		system	
BASE_APP_DATA	app	system	system
BASE_AUTHORIZE	system		app;common;oauth;system;visualdev
BASE_BILL_RULE	system	system	
BASE_COLUMNS_PURVIEW			system
BASE_COMMON_FIELDS	system		
BASE_COMMON_WORDS	system		system
BASE_DATA_INTERFACE	system		system;visualdev
BASE_DATA_INTERFACE_LOG	system		
BASE_DATA_INTERFACE_OAUTH	system	system	system
BASE_DATA_INTERFACE_USER		system	system
BASE_DATA_INTERFACE_VARIATE	system		system
BASE_DB_LINK	system		codegen;system;workflow;zxdev
BASE_DICTIONARY_DATA	system		codegen;report;system;visualdev
BASE_DICTIONARY_TYPE	system		message;system;visualdev
BASE_FILE			
BASE_FOUNDER_AUTH_LOG	inteAssistant		
BASE_GROUP	system	system	common;engine;system;visualdev
BASE_IM_CONTENT		common	common;message
BASE_IM_REPLY	message		common
BASE_INTEGRATE	inteAssistant		inteAssistant
BASE_INTEGRATE_NODE		inteAssistant	inteAssistant
BASE_INTEGRATE_QUEUE		common;inteAssistant	inteAssistant
BASE_INTEGRATE_TASK	inteAssistant	inteAssistant	
BASE_IR_EDIT_PATCH			
BASE_IR_VERSION			inteAssistant
BASE_KNOWLEDGE_EDGE	inteAssistant		inteAssistant
BASE_KNOWLEDGE_NODE	inteAssistant		inteAssistant
BASE_KNOWLEDGE_RULE			inteAssistant
BASE_MENU_BADGE			inteAssistant
BASE_MESSAGE	message	message	common;message;visualdev
BASE_MODULE	system		app;common;extend;oauth;system;visualdev
BASE_MODULE_AUTHORIZE	system	system	system;visualdev
BASE_MODULE_BUTTON	system	system	system;visualdev
BASE_MODULE_COLUMN	system	system	system;visualdev
BASE_MODULE_FORM	system	system	system;visualdev
BASE_MODULE_LINK	system		
BASE_MODULE_SCHEME	system	system	common;system;visualdev
BASE_MSG_ACCOUNT	message		message
BASE_MSG_MONITOR	message		message
BASE_MSG_SEND	message		message
