service_class	module	file
AiCallLogService	JNPF.API.Entry	backend\application\JNPF.API.Entry\Services\AiCallLogService.cs
DeadLetterService	JNPF.API.Entry	backend\application\JNPF.API.Entry\Services\DeadLetterService.cs
LogHealthCheckService	JNPF.API.Entry	backend\application\JNPF.API.Entry\Services\LogHealthCheckService.cs
TechnicalLogService	JNPF.API.Entry	backend\application\JNPF.API.Entry\Services\TechnicalLogService.cs
AppDataService	app	backend\modularity\app\JNPF.Apps\AppDataService.cs
AppMenuService	app	backend\modularity\app\JNPF.Apps\AppMenuService.cs
AppUserService	app	backend\modularity\app\JNPF.Apps\AppUserService.cs
AppVersion	app	backend\modularity\app\JNPF.Apps\AppVersion.cs
CodeGenService	codegen	backend\modularity\codegen\JNPF.CodeGen\CodeGenService.cs
BigDataService	extend	backend\modularity\extend\JNPF.Extend\BigDataService.cs
DocumentPreview	extend	backend\modularity\extend\JNPF.Extend\DocumentPreview.cs
DocumentService	extend	backend\modularity\extend\JNPF.Extend\DocumentService.cs
EmailService	extend	backend\modularity\extend\JNPF.Extend\EmailService.cs
EmployeeService	extend	backend\modularity\extend\JNPF.Extend\EmployeeService.cs
OrderService	extend	backend\modularity\extend\JNPF.Extend\OrderService.cs
ProductClassifyService	extend	backend\modularity\extend\JNPF.Extend\ProductClassifyService.cs
ProductCustomerService	extend	backend\modularity\extend\JNPF.Extend\ProductCustomerService.cs
ProductGoodsService	extend	backend\modularity\extend\JNPF.Extend\ProductGoodsService.cs
ProductService	extend	backend\modularity\extend\JNPF.Extend\ProductService.cs
ProjectGanttService	extend	backend\modularity\extend\JNPF.Extend\ProjectGanttService.cs
TableExampleService	extend	backend\modularity\extend\JNPF.Extend\TableExampleService.cs
WorkLogService	extend	backend\modularity\extend\JNPF.Extend\WorkLogService.cs
AiCallLogService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\AiCallLogService.cs
AIDevelopmentPipelineService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\AIDevelopmentPipelineService.cs
AiPromptTemplateService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\AiPromptTemplateService.cs
AiTestService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\AiTestService.cs
FounderService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\FounderService.cs
IntegrateService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\IntegrateService.cs
IntegrateTaskService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\IntegrateTaskService.cs
KnowledgePatchService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\KnowledgePatchService.cs
LlmBudgetApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\LlmBudgetApiService.cs
LlmGatewayApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\LlmGatewayApiService.cs
LlmGatewayProxyApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\LlmGatewayProxyApiService.cs
PipelineOrchestratorService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\PipelineOrchestratorService.cs
SandboxService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\SandboxService.cs
WebHookService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\WebHookService.cs
IrObservabilityApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Ir\IrObservabilityApiService.cs
BugfixSkillsApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Skills\BugfixSkillsApiService.cs
DeploySkillsApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Skills\DeploySkillsApiService.cs
DesignSkillsApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Skills\DesignSkillsApiService.cs
DeveloperSkillsApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Skills\DeveloperSkillsApiService.cs
SkillsApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Skills\SkillsApiService.cs
AgentConfigService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigService.cs
DomainKnowledgeService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\DomainKnowledgeService.cs
EvalService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalService.cs
GeneratedProjectService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectService.cs
KnowledgeRuleService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\KnowledgeRuleService.cs
LlmMonitorApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\LlmMonitorApiService.cs
McpGatewayService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\McpGatewayService.cs
SkillMemoryApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\MemoryRetentionService.cs
ModelProviderService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderService.cs
ModelRoutingService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingService.cs
PipelineStageConfigService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigService.cs
QualityApiService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\QualityApiService.cs
SandboxConfigService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\SandboxConfigService.cs
SkillQualityBoardService	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\SkillQualityBoardService.cs
