table_name	creation_source	position	mechanism
BASE_ADVANCED_QUERY_SCHEME	DB/ZXAFINIT.sql	byte@27878	INIT_SQL
BASE_AI_AGENT_CONFIG	DB/ZXAFINIT.sql	byte@30230	INIT_SQL
BASE_AI_AGENT_SKILL	DB/ZXAFINIT.sql	byte@32474	INIT_SQL
BASE_AI_CALL_LOG	DB/ZXAFINIT.sql	byte@34270	INIT_SQL
BASE_AI_EVAL_CASE	DB/ZXAFINIT.sql	byte@36684	INIT_SQL
BASE_AI_EVAL_GOLDEN_SET	DB/ZXAFINIT.sql	byte@38452	INIT_SQL
BASE_AI_EVAL_RUN	DB/ZXAFINIT.sql	byte@40026	INIT_SQL
BASE_AI_GENERATED_PROJECT	DB/ZXAFINIT.sql	byte@41668	INIT_SQL
BASE_AI_MCP_CONFIG	DB/ZXAFINIT.sql	byte@44424	INIT_SQL
BASE_AI_MODEL_PROVIDER	DB/ZXAFINIT.sql	byte@46402	INIT_SQL
BASE_AI_MODEL_ROUTING	DB/ZXAFINIT.sql	byte@48738	INIT_SQL
BASE_AI_PIPELINE	DB/ZXAFINIT.sql	byte@50684	INIT_SQL
BASE_AI_PIPELINE_MESSAGE	DB/ZXAFINIT.sql	byte@53516	INIT_SQL
BASE_AI_PIPELINE_STAGE_CONFIG	DB/ZXAFINIT.sql	byte@55672	INIT_SQL
BASE_AI_PROMPT_TEMPLATE	DB/ZXAFINIT.sql	byte@57548	INIT_SQL
BASE_AI_UI_TEMPLATE	DB/ZXAFINIT.sql	byte@59280	INIT_SQL
BASE_API_LOG	DB/ZXAFINIT.sql	byte@61404	INIT_SQL
BASE_APP_DATA	DB/ZXAFINIT.sql	byte@65090	INIT_SQL
BASE_AUTHORIZE	DB/ZXAFINIT.sql	byte@67538	INIT_SQL
BASE_BILL_RULE	DB/ZXAFINIT.sql	byte@69636	INIT_SQL
BASE_COLUMNS_PURVIEW	DB/ZXAFINIT.sql	byte@72476	INIT_SQL
BASE_COMMON_FIELDS	DB/ZXAFINIT.sql	byte@74496	INIT_SQL
BASE_COMMON_WORDS	DB/ZXAFINIT.sql	byte@76744	INIT_SQL
BASE_DATA_INTERFACE	DB/ZXAFINIT.sql	byte@78808	INIT_SQL
BASE_DATA_INTERFACE_LOG	DB/ZXAFINIT.sql	byte@81840	INIT_SQL
BASE_DATA_INTERFACE_OAUTH	DB/ZXAFINIT.sql	byte@84218	INIT_SQL
BASE_DATA_INTERFACE_USER	DB/ZXAFINIT.sql	byte@86822	INIT_SQL
BASE_DATA_INTERFACE_VARIATE	DB/ZXAFINIT.sql	byte@88822	INIT_SQL
BASE_DB_LINK	DB/ZXAFINIT.sql	byte@90940	INIT_SQL
BASE_DICTIONARY_DATA	DB/ZXAFINIT.sql	byte@93548	INIT_SQL
BASE_DICTIONARY_TYPE	DB/ZXAFINIT.sql	byte@95974	INIT_SQL
BASE_FILE	DB/ZXAFINIT.sql	byte@98238	INIT_SQL
BASE_FOUNDER_AUTH_LOG	DB/ZXAFINIT.sql	byte@100346	INIT_SQL
BASE_GROUP	DB/ZXAFINIT.sql	byte@102370	INIT_SQL
BASE_IM_CONTENT	DB/ZXAFINIT.sql	byte@104386	INIT_SQL
BASE_IM_REPLY	DB/ZXAFINIT.sql	byte@106690	INIT_SQL
BASE_INTEGRATE	DB/ZXAFINIT.sql	byte@108656	INIT_SQL
BASE_INTEGRATE_NODE	DB/ZXAFINIT.sql	byte@111062	INIT_SQL
BASE_INTEGRATE_QUEUE	DB/ZXAFINIT.sql	byte@113942	INIT_SQL
BASE_INTEGRATE_TASK	DB/ZXAFINIT.sql	byte@116128	INIT_SQL
BASE_IR_EDIT_PATCH	DB/ZXAFINIT.sql	byte@118778	INIT_SQL
BASE_IR_VERSION	DB/ZXAFINIT.sql	byte@120888	INIT_SQL
BASE_KNOWLEDGE_EDGE	DB/ZXAFINIT.sql	byte@123272	INIT_SQL
BASE_KNOWLEDGE_NODE	DB/ZXAFINIT.sql	byte@125384	INIT_SQL
BASE_KNOWLEDGE_RULE	DB/ZXAFINIT.sql	byte@127370	INIT_SQL
BASE_MENU_BADGE	DB/ZXAFINIT.sql	byte@129368	INIT_SQL
BASE_MESSAGE	DB/ZXAFINIT.sql	byte@130774	INIT_SQL
BASE_MODULE	DB/ZXAFINIT.sql	byte@133104	INIT_SQL
BASE_MODULE_AUTHORIZE	DB/ZXAFINIT.sql	byte@136132	INIT_SQL
BASE_MODULE_BUTTON	DB/ZXAFINIT.sql	byte@138916	INIT_SQL
BASE_MODULE_COLUMN	DB/ZXAFINIT.sql	byte@141386	INIT_SQL
BASE_MODULE_FORM	DB/ZXAFINIT.sql	byte@144012	INIT_SQL
BASE_MODULE_LINK	DB/ZXAFINIT.sql	byte@146548	INIT_SQL
BASE_MODULE_SCHEME	DB/ZXAFINIT.sql	byte@148570	INIT_SQL
BASE_MSG_ACCOUNT	DB/ZXAFINIT.sql	byte@151036	INIT_SQL
BASE_MSG_MONITOR	DB/ZXAFINIT.sql	byte@154806	INIT_SQL
BASE_MSG_SEND	DB/ZXAFINIT.sql	byte@157376	INIT_SQL
BASE_MSG_SEND_TEMPLATE	DB/ZXAFINIT.sql	byte@159586	INIT_SQL
BASE_MSG_SHORT_LINK	DB/ZXAFINIT.sql	byte@161826	INIT_SQL
BASE_MSG_SMS_FIELD	DB/ZXAFINIT.sql	byte@164318	INIT_SQL
BASE_MSG_TEMPLATE	DB/ZXAFINIT.sql	byte@166478	INIT_SQL
BASE_MSG_TEMPLATE_PARAM	DB/ZXAFINIT.sql	byte@169190	INIT_SQL
BASE_MSG_WECHAT_USER	DB/ZXAFINIT.sql	byte@171242	INIT_SQL
BASE_NOTICE	DB/ZXAFINIT.sql	byte@173316	INIT_SQL
BASE_ORGANIZE	DB/ZXAFINIT.sql	byte@175888	INIT_SQL
BASE_ORGANIZE_ADMINISTRATOR	DB/ZXAFINIT.sql	byte@178384	INIT_SQL
BASE_ORGANIZE_RELATION	DB/ZXAFINIT.sql	byte@181170	INIT_SQL
BASE_PERMISSION_GROUP	DB/ZXAFINIT.sql	byte@183232	INIT_SQL
BASE_PORTAL	DB/ZXAFINIT.sql	byte@185358	INIT_SQL
BASE_PORTAL_DATA	DB/ZXAFINIT.sql	byte@187984	INIT_SQL
BASE_PORTAL_MANAGE	DB/ZXAFINIT.sql	byte@190142	INIT_SQL
BASE_POSITION	DB/ZXAFINIT.sql	byte@192266	INIT_SQL
