table_name	module	file
BASE_ADVANCED_QUERY_SCHEME	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\AdvancedQuerySchemeEntity.cs
BASE_AI_AGENT_CONFIG	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentConfigEntity.cs
BASE_AI_AGENT_SKILL	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\AgentSkillEntity.cs
BASE_AI_CALL_LOG	JNPF.API.Entry	backend\application\JNPF.API.Entry\Entities\AiCallLogEntity.cs
BASE_AI_EVAL_CASE	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalEntities.cs
BASE_AI_EVAL_GOLDEN_SET	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalEntities.cs
BASE_AI_EVAL_RUN	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\EvalEntities.cs
BASE_AI_GENERATED_PROJECT	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\GeneratedProjectEntity.cs
BASE_AI_MCP_CONFIG	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\McpConfigEntity.cs
BASE_AI_MODEL_PROVIDER	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelProviderEntity.cs
BASE_AI_MODEL_ROUTING	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\ModelRoutingEntity.cs
BASE_AI_PIPELINE_STAGE_CONFIG	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\PipelineStageConfigEntity.cs
BASE_AI_UI_TEMPLATE	inteAssistant	backend\modularity\inteAssistant\JNPF.InteAssistant\Studio\UiTemplateEntity.cs
BASE_API_LOG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ApiLogEntity.cs
BASE_APP_DATA	app	backend\modularity\app\JNPF.Apps.Entitys\Entity\AppDataEntity.cs
BASE_AUTHORIZE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\AuthorizeEntity.cs
BASE_BILL_RULE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\BillRuleEntity.cs
BASE_COLUMNS_PURVIEW	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\ColumnsPurviewEntity.cs
BASE_COMMON_FIELDS	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\ComFieldsEntity.cs
BASE_COMMON_WORDS	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\CommonWordsEntity.cs
BASE_DATA_INTERFACE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceEntity.cs
BASE_DATA_INTERFACE_LOG	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceLogEntity.cs
BASE_DATA_INTERFACE_OAUTH	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\InterfaceOauthEntity.cs
BASE_DATA_INTERFACE_USER	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceUserEntity.cs
BASE_DATA_INTERFACE_VARIATE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceVariateEntity.cs
BASE_DB_LINK	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DbLinkEntity.cs
BASE_DICTIONARY_DATA	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DictionaryDataEntity.cs
BASE_DICTIONARY_TYPE	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\System\DictionaryTypeEntity.cs
BASE_GROUP	system	backend\modularity\system\JNPF.Systems.Entitys\Entity\Permission\GroupEntity.cs
BASE_IM_CONTENT	message	backend\modularity\message\JNPF.Message.Entitys\Entity\IMContentEntity.cs
BASE_IM_REPLY	message	backend\modularity\message\JNPF.Message.Entitys\Entity\ImReplyEntity.cs
