f_en_code|f_type|f_url_address
---------|------|-------------
flowEngine|1|
generator.flowForm|2|generator/flowForm
m3.workflow|2|studio/jnpf/workflow-designer
workFlow|1|
workFlow.addFlow|2|workFlow/flowQuickLaunch
workFlow.entrust|2|workFlow/entrust
workFlow.flowCirculate|2|workFlow/flowCirculate
workFlow.flowDone|2|workFlow/flowDone
workFlow.flowEngine|2|workFlow/flowEngine
workFlow.flowLaunch|2|workFlow/flowLaunch
workFlow.flowMonitor|2|workFlow/flowMonitor
workFlow.flowTodo|2|workFlow/flowTodo
