table_name	saservice_ref_files	saservice_sample
AI_ENTITY_FIELD	0	
AI_IR_EVENTS	0	
AI_IR_FRAGMENT_SNAPSHOTS	0	
AI_PROJECTS	0	
AI_ROUTE_TABLE	0	
AI_SEED_TEMPLATES	0	
AI_SKILL_LLM_POLICY	0	
AI_SKILL_RUNS	0	
BASE_ADVANCED_QUERY_SCHEME	0	
BASE_AI_AGENT_CONFIG	0	
BASE_AI_AGENT_SKILL	0	
BASE_AI_CALL_LOG	0	
BASE_AI_EVAL_CASE	0	
BASE_AI_EVAL_GOLDEN_SET	0	
BASE_AI_EVAL_RUN	0	
BASE_AI_GENERATED_PROJECT	0	
BASE_AI_MCP_CONFIG	0	
BASE_AI_MODEL_PROVIDER	0	
BASE_AI_MODEL_ROUTING	0	
BASE_AI_PIPELINE	0	
BASE_AI_PIPELINE_MESSAGE	0	
BASE_AI_PIPELINE_S2_PROGRESS	0	
BASE_AI_PIPELINE_STAGE_CONFIG	0	
BASE_AI_PROMPT_TEMPLATE	0	
BASE_AI_SKILL_REVIEW	0	
BASE_AI_UI_TEMPLATE	0	
BASE_API_LOG	0	
BASE_APP_DATA	0	
BASE_AUTHORIZE	0	
BASE_BILL_RULE	0	
BASE_COLUMNS_PURVIEW	0	
BASE_COMMON_FIELDS	0	
BASE_COMMON_WORDS	0	
BASE_DATA_INTERFACE	0	
BASE_DATA_INTERFACE_LOG	0	
BASE_DATA_INTERFACE_OAUTH	0	
BASE_DATA_INTERFACE_USER	0	
BASE_DATA_INTERFACE_VARIATE	0	
BASE_DB_LINK	0	
BASE_DICTIONARY_DATA	0	
BASE_DICTIONARY_TYPE	0	
BASE_FILE	0	
BASE_FOUNDER_AUTH_LOG	0	
BASE_GROUP	0	
BASE_IM_CONTENT	0	
BASE_IM_REPLY	0	
BASE_INTEGRATE	0	
BASE_INTEGRATE_NODE	0	
BASE_INTEGRATE_QUEUE	0	
BASE_INTEGRATE_TASK	0	
BASE_IR_EDIT_PATCH	0	
BASE_IR_VERSION	0	
BASE_KNOWLEDGE_EDGE	0	
BASE_KNOWLEDGE_NODE	0	
BASE_KNOWLEDGE_RULE	0	
BASE_MENU_BADGE	0	
BASE_MESSAGE	0	
BASE_MODULE	0	
BASE_MODULE_AUTHORIZE	0	
BASE_MODULE_BUTTON	0	
BASE_MODULE_COLUMN	0	
BASE_MODULE_FORM	0	
BASE_MODULE_LINK	0	
BASE_MODULE_SCHEME	0	
BASE_MSG_ACCOUNT	0	
BASE_MSG_MONITOR	0	
BASE_MSG_SEND	0	
BASE_MSG_SEND_TEMPLATE	0	
BASE_MSG_SHORT_LINK	0	
BASE_MSG_SMS_FIELD	0	
BASE_MSG_TEMPLATE	0	
BASE_MSG_TEMPLATE_PARAM	0	
BASE_MSG_WECHAT_USER	0	
BASE_NOTICE	0	
BASE_ORGANIZE	0	
BASE_ORGANIZE_ADMINISTRATOR	0	
BASE_ORGANIZE_RELATION	0	
BASE_PERMISSION_GROUP	0	
BASE_PORTAL	0	
BASE_PORTAL_DATA	0	
BASE_PORTAL_MANAGE	0	
BASE_POSITION	0	
BASE_PRINT_LOG	0	
BASE_PRINT_TEMPLATE	0	
BASE_PROVINCE	0	
BASE_PROVINCE_ATLAS	0	
BASE_REPORT	0	
BASE_ROLE	0	
BASE_SANDBOX	0	
BASE_SCHEDULE	0	
BASE_SCHEDULE_LOG	0	
BASE_SCHEDULE_USER	0	
BASE_SIGN_IMG	0	
BASE_SIGNATURE	0	
BASE_SIGNATURE_USER	0	
BASE_SOCIALS_USERS	0	
BASE_STUDIO_MENU	0	
BASE_STUDIO_MENU_BAK_20260617	0	
BASE_SYN_THIRD_INFO	0	
BASE_SYS_CONFIG	0	
BASE_SYS_LOG	0	
BASE_SYSTEM	0	
BASE_TENANT_GLOSSARY	0	
BASE_TENANT_INDUSTRY	0	
BASE_TIME_TASK	0	
BASE_TIME_TASK_LOG	0	
BASE_USER	0	
BASE_USER_DEVICE	0	
BASE_USER_OLD_PASSWORD	0	
BASE_USER_RELATION	0	
BASE_VISUAL_DEV	0	
BASE_VISUAL_FILTER	0	
BASE_VISUAL_LINK	0	
BASE_VISUAL_RELEASE	0	
BLADE_VISUAL	0	
BLADE_VISUAL_CATEGORY	0	
BLADE_VISUAL_COMPONENT	0	
BLADE_VISUAL_CONFIG	0	
BLADE_VISUAL_DB	0	
BLADE_VISUAL_GLOB	0	
BLADE_VISUAL_MAP	0	
BLADE_VISUAL_RECORD	0	
DATA_REPORT	0	
DEMO_EXCELTEST	0	
DEMO_ORDER	0	
DEMO_ORDERDETAIL	0	
DOMAIN_MODEL	2	sa-service\dist\orchestrator\SADatabase.js;sa-service\src\orchestrator\SADatabase.ts
EVAL_METRIC	0	
EXT_BIG_DATA	0	
EXT_CUSTOMER	0	
EXT_DOCUMENT	0	
EXT_DOCUMENT_SHARE	0	
EXT_EMAIL_CONFIG	0	
EXT_EMAIL_RECEIVE	0	
EXT_EMAIL_SEND	0	
EXT_EMPLOYEE	0	
EXT_ORDER	0	
EXT_ORDER_ENTRY	0	
EXT_ORDER_RECEIVABLE	0	
EXT_PRODUCT	0	
EXT_PRODUCT_CLASSIFY	0	
EXT_PRODUCT_ENTRY	0	
EXT_PRODUCT_GOODS	0	
EXT_PROJECT_GANTT	0	
EXT_TABLE_EXAMPLE	0	
EXT_WORK_LOG	0	
EXT_WORK_LOG_SHARE	0	
FLOW_CANDIDATES	0	
FLOW_COMMENT	0	
FLOW_DELEGATE	0	
FLOW_EVENT_LOG	0	
FLOW_FORM	0	
FLOW_FORM_AUTHORIZE	0	
FLOW_FORM_RELATION	0	
FLOW_LAUNCH_USER	0	
FLOW_REJECT_DATA	0	
FLOW_TASK	0	
FLOW_TASK_CIRCULATE	0	
FLOW_TASK_NODE	0	
FLOW_TASK_OPERATOR	0	
FLOW_TASK_OPERATOR_RECORD	0	
FLOW_TASK_OPERATOR_USER	0	
FLOW_TEMPLATE	0	
FLOW_TEMPLATE_JSON	0	
FLOW_VISIBLE	0	
INTE_ASSISTANT_ATTACHMENT	0	
INTE_ASSISTANT_DELIVERABLE	0	
KG_PATTERN	4	sa-service\dist\dkee\PatternQueries.js;sa-service\dist\orchestrator\SADatabase.js;sa-service\src\dkee\PatternQueries.ts
KG_PATTERN_USAGE	2	sa-service\dist\dkee\PatternQueries.js;sa-service\src\dkee\PatternQueries.ts
MT543406707183714245	0	
MT543408365615710149	0	
MT543552698159464389	0	
MT543668771097673669	0	
MT543971603646513093	0	
PROCESSED_EVENT	0	
REPORT_CHARTS	0	
REPORT_DEPARTMENT	0	
REPORT_USER	0	
SA_ASSUMPTIONS	0	
SA_BUSINESS_PROCESS	7	sa-service\dist\agents\BPMAgent.d.ts;sa-service\dist\agents\BPMAgent.js;sa-service\dist\orchestrator\SAOrchestrator.js
SA_CONSISTENCY	0	
SA_DATA_DICTIONARY	12	sa-service\dist\agents\DictAgent.d.ts;sa-service\dist\agents\DictAgent.js;sa-service\dist\dkee\PatternExtractor.js
SA_DECISION_TABLE	11	sa-service\dist\agents\DecisionTableAgent.d.ts;sa-service\dist\agents\DecisionTableAgent.js;sa-service\dist\dkee\PatternExtractor.js
SA_DFD	9	sa-service\dist\agents\DFDAgent.d.ts;sa-service\dist\agents\DFDAgent.js;sa-service\dist\orchestrator\SADatabase.js
SA_ER	7	sa-service\dist\agents\ERAgent.d.ts;sa-service\dist\agents\ERAgent.js;sa-service\dist\orchestrator\SAOrchestrator.js
SA_PSPEC	9	sa-service\dist\agents\PSpecAgent.d.ts;sa-service\dist\agents\PSpecAgent.js;sa-service\dist\orchestrator\SADatabase.js
SA_QUALITY_SCORE	0	
SA_SCOPE	13	sa-service\dist\agents\ScopeAgent.d.ts;sa-service\dist\agents\ScopeAgent.js;sa-service\dist\dkee\PatternQueries.js
SA_STATE_MACHINE	11	sa-service\dist\agents\StateMachineAgent.d.ts;sa-service\dist\agents\StateMachineAgent.js;sa-service\dist\dkee\PatternExtractor.js
SA_UI	7	sa-service\dist\agents\UIAgent.d.ts;sa-service\dist\agents\UIAgent.js;sa-service\dist\orchestrator\SAOrchestrator.js
SA_VALIDATION_LOG	2	sa-service\dist\orchestrator\RetryLoop.js;sa-service\src\orchestrator\RetryLoop.ts
SCHEMAVERSIONS	0	
STUDENT	0	
SYS_EVENT_OUTBOX_MESSAGE	0	
SYS_PROCESSED_EVENT	0	
UNDO_LOG	0	
WFORM_APPLYBANQUET	0	
WFORM_APPLYDELIVERGOODS	0	
WFORM_APPLYDELIVERGOODSENTRY	0	
WFORM_APPLYMEETING	0	
WFORM_ARCHIVALBORROW	0	
WFORM_ARTICLESWAREHOUS	0	
WFORM_BATCHPACK	0	
WFORM_BATCHTABLE	0	
WFORM_CONBILLING	0	
WFORM_CONTRACTAPPROVAL	0	
WFORM_CONTRACTAPPROVALSHEET	0	
WFORM_DEBITBILL	0	
WFORM_DOCUMENTAPPROVAL	0	
WFORM_DOCUMENTSIGNING	0	
WFORM_EXPENSEEXPENDITURE	0	
WFORM_FINISHEDPRODUCT	0	
WFORM_FINISHEDPRODUCTENTRY	0	
WFORM_INCOMERECOGNITION	0	
WFORM_LEAVEAPPLY	0	
WFORM_LETTERSERVICE	0	
WFORM_MATERIALREQUISITION	0	
WFORM_MATERIALREQUISITIONENTRY	0	
WFORM_MONTHLYREPORT	0	
WFORM_OFFICESUPPLIES	0	
WFORM_OUTBOUNDORDER	0	
WFORM_OUTBOUNDORDERENTRY	0	
WFORM_OUTGOINGAPPLY	0	
WFORM_PAYDISTRIBUTION	0	
WFORM_PAYMENTAPPLY	0	
WFORM_POSTBATCHTAB	0	
WFORM_PROCUREMENTMATERIAL	0	
WFORM_PROCUREMENTMATERIALENTRY	0	
WFORM_PURCHASELIST	0	
WFORM_PURCHASELISTENTRY	0	
WFORM_QUOTATIONAPPROVAL	0	
WFORM_RECEIPTPROCESSING	0	
WFORM_RECEIPTSIGN	0	
WFORM_REWARDPUNISHMENT	0	
WFORM_SALESORDER	0	
WFORM_SALESORDERENTRY	0	
WFORM_SALESSUPPORT	0	
WFORM_STAFFOVERTIME	0	
WFORM_SUPPLEMENTCARD	0	
WFORM_TRAVELAPPLY	0	
WFORM_TRAVELREIMBURSEMENT	0	
WFORM_VEHICLEAPPLY	0	
WFORM_VIOLATIONHANDLING	0	
WFORM_WAREHOUSERECEIPT	0	
WFORM_WAREHOUSERECEIPTENTRY	0	
WFORM_WORKCONTACTSHEET	0	
WFORM_ZJF_WIKXQI	0	
WH_BASICDATA	0	
WH_BILL	0	
WH_BILLAUTOID	0	
WH_BILLDETAIL	0	
WH_CHECKBILLDETAIL	0	
WH_CUSTOMER	0	
WH_CUSTOMERCLASS	0	
WH_DEPOT	0	
WH_DEPOTMATERIAL	0	
WH_DEPT	0	
WH_MATERIAL	0	
WH_MATERIALCLASS	0	
WH_PROJECT	0	
WH_REMOVEBILL	0	
WH_REMOVEBILLDETAIL	0	
WH_STORAGETYPE	0	
WH_SUPPLIER	0	
WH_SUPPLIERCLASS	0	
WM_BASICDATA	0	
WM_BILL	0	
WM_BILLAUTOID	0	
WM_BILLDETAIL	0	
WM_CHECKBILL	0	
WM_CHECKBILLDETAIL	0	
WM_CLIENT	0	
WM_CLIENTCLASS	0	
WM_DEPOT	0	
WM_DEPOTMATERIAL	0	
WM_DEPT	0	
WM_EMPLOYEE	0	
WM_MATERIAL	0	
WM_PROJECT	0	
WM_REMOVEBILL	0	
WM_REMOVEBILLDETAIL	0	
WM_STORAGECLASS	0	
WM_STORAGETYPE	0	
WM_SUPPLIER	0	
WM_SUPPLIERCLASS	0	
WM_TAXRATE	0	
ZX_SYS_CONFIG	0	
ZX_SYS_DB	0	
ZX_SYSTEM_DB	0	
