tbl|rows_cnt
---|--------
ext_big_data|0
ext_customer|7
ext_document|4
ext_document_share|0
ext_email_config|1
ext_email_receive|0
ext_email_send|0
ext_employee|0
ext_order|9
ext_order_entry|6
ext_order_receivable|1
ext_product|3
ext_product_classify|6
ext_product_entry|12
ext_product_goods|10
ext_project_gantt|0
ext_table_example|33
ext_work_log|0
ext_work_log_share|0
wform_applybanquet|1
wform_applydelivergoods|0
wform_applydelivergoodsentry|0
wform_applymeeting|0
wform_archivalborrow|2
wform_articleswarehous|0
wform_batchpack|0
wform_batchtable|0
wform_conbilling|0
wform_contractapproval|0
wform_contractapprovalsheet|0
wform_debitbill|0
wform_documentapproval|0
wform_documentsigning|0
wform_expenseexpenditure|0
wform_finishedproduct|0
wform_finishedproductentry|0
wform_incomerecognition|0
wform_leaveapply|0
wform_letterservice|0
wform_materialrequisition|0
wform_materialrequisitionentry|0
wform_monthlyreport|0
wform_officesupplies|0
wform_outboundorder|0
wform_outboundorderentry|0
wform_outgoingapply|0
wform_paydistribution|0
wform_paymentapply|0
wform_postbatchtab|0
wform_procurementmaterial|0
wform_procurementmaterialentry|0
wform_purchaselist|0
wform_purchaselistentry|0
wform_quotationapproval|0
wform_receiptprocessing|0
wform_receiptsign|0
wform_rewardpunishment|0
wform_salesorder|1
wform_salesorderentry|1
wform_salessupport|0
wform_staffovertime|0
wform_supplementcard|0
wform_travelapply|0
wform_travelreimbursement|0
wform_vehicleapply|0
wform_violationhandling|0
wform_warehousereceipt|0
wform_warehousereceiptentry|0
wform_workcontactsheet|0
wform_zjf_wikxqi|0
WH_BasicData|208
WH_Bill|2
WH_BillAutoID|4
WH_BillDetail|4
WH_CheckBillDetail|19
WH_Customer|1
WH_CustomerClass|2
WH_Depot|2
WH_DepotMaterial|2
WH_Dept|2
WH_Material|4
WH_MaterialClass|1
WH_Project|1
WH_RemoveBill|8
WH_RemoveBillDetail|13
WH_StorageType|4
WH_Supplier|1
WH_SupplierClass|3
WM_BasicData|29
WM_Bill|151
WM_BillAutoID|4
WM_BillDetail|1629
WM_CheckBill|1
WM_CheckBillDetail|1613
WM_Client|1
WM_ClientClass|0
WM_Depot|1
WM_DepotMaterial|0
WM_Dept|1
WM_Employee|3
WM_Material|739
WM_Project|0
WM_RemoveBill|5
WM_RemoveBillDetail|7
WM_StorageClass|9
WM_StorageType|8
WM_Supplier|1
WM_SupplierClass|0
WM_TaxRate|0
