table_name,prefix,db_rows,db_cols,pk_type,creation_source,creation_pos,mechanism,code_owner,entity_mapped,write_owner,read_consumers,saservice_refs,api_exposed,ui_menu,template,seed_inserts,demo,runtime_required,startup_impact,product_deliverable,asset_class,platform_role,asset_lifecycle,score,provenance
AI_ENTITY_FIELD,ai,824,26,nvarchar,backend/modularity/inteAssistant/Migrations/20260708_P9_Domain1_Entity_Field.sql,L19,MIGRATION,inteAssistant,Y,inteAssistant;other,inteAssistant;other,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_IR_EVENTS,ai,3780,14,nvarchar,backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql,L9,MIGRATION,inteAssistant,Y,other,inteAssistant;other,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_IR_FRAGMENT_SNAPSHOTS,ai,782,13,nvarchar,backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql,L33,MIGRATION,inteAssistant,Y,inteAssistant,inteAssistant;other,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_PROJECTS,ai,329,19,nvarchar,backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql,L53,MIGRATION,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_ROUTE_TABLE,ai,328,10,nvarchar,backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql,L73,MIGRATION,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_SEED_TEMPLATES,ai,40,9,nvarchar,backend/modularity/inteAssistant/Migrations/20260718_Phase2_Skills_Infrastructure.sql,L29,MIGRATION,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_SKILL_LLM_POLICY,ai,9,8,nvarchar,backend/modularity/inteAssistant/Migrations/20260801_Phase3_Design_Skills.sql,L28,MIGRATION,inteAssistant,Y,,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
AI_SKILL_RUNS,ai,373,11,nvarchar,backend/modularity/inteAssistant/Migrations/20260718_Phase2_Skills_Infrastructure.sql,L9,MIGRATION,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_ADVANCED_QUERY_SCHEME,base,2,18,nvarchar,DB/ZXAFINIT.sql,byte@27878,INIT_SQL,system,Y,,,0,Y,,,2,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_AGENT_CONFIG,BASE,5,19,bigint,DB/ZXAFINIT.sql,byte@30230,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,5,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_AGENT_SKILL,BASE,0,13,bigint,DB/ZXAFINIT.sql,byte@32474,INIT_SQL,inteAssistant,Y,inteAssistant,inteAssistant,0,Y,,,0,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
BASE_AI_CALL_LOG,BASE,1502,25,nvarchar,DB/ZXAFINIT.sql,byte@34270,INIT_SQL,JNPF.API.Entry,Y,,inteAssistant;JNPF.API.Entry,0,Y,,,96,,Y,REQUIRED,Y,P0_PLATFORM_CORE,CORE,MANDATORY,5,PROVEN
