JNPF.Startup.Benchmarks mode=routes rounds=5 entryDir=D:\JNPF-v52\backend\application\JNPF.API.Entry\bin\Debug\net8.0
[ROUTE] DELETE /api/visualdev/base/{id} (base.)
[ROUTE] DELETE /api/visualdev/integrate/{id} (integrate.)
[ROUTE] DELETE /api/visualdev/integratetask/{id} (integratetask.)
[ROUTE] DELETE /api/visualdev/onlinedev/{modelid}/{id} (onlinedev.)
[ROUTE] DELETE /api/visualdev/onlinedev/app/{modelid}/{id} (app.)
[ROUTE] DELETE /api/visualdev/onlinedev/delinteassistant/{modelid} (onlinedev.del-inte-assistant)
[ROUTE] DELETE /api/visualdev/portal/{id} (portal.)
[ROUTE] GET /api/visualdev/base (base.list)
[ROUTE] GET /api/visualdev/base/{id} (base.info)
[ROUTE] GET /api/visualdev/base/{id}/actions/rollbacktemplate (base.rollback-template)
[ROUTE] GET /api/visualdev/base/{id}/fielddataselect (base.field-data-select)
[ROUTE] GET /api/visualdev/base/{id}/formdatafields (base.form-data-fields)
[ROUTE] GET /api/visualdev/base/list (base.integrate-list)
[ROUTE] GET /api/visualdev/base/selector (base.selector)
[ROUTE] GET /api/visualdev/dashboard/email (dashboard.email)
[ROUTE] GET /api/visualdev/dashboard/flowtodo (dashboard.flow-todo)
[ROUTE] GET /api/visualdev/dashboard/myflowtodo (dashboard.my-flow-todo)
[ROUTE] GET /api/visualdev/hooks/{id}/params/{randomstr} (hooks.webhook-params)
[ROUTE] GET /api/visualdev/hooks/{id}/start/{randomstr} (hooks.web-hook-start)
[ROUTE] GET /api/visualdev/hooks/getparams/{randomstr} (hooks.redis-params)
[ROUTE] GET /api/visualdev/hooks/geturl (hooks.webhook-url)
[ROUTE] GET /api/visualdev/integrate (integrate.list)
[ROUTE] GET /api/visualdev/integrate/{id} (integrate.info)
[ROUTE] GET /api/visualdev/integratetask (integratetask.list)
[ROUTE] GET /api/visualdev/integratetask/{id} (integratetask.info)
[ROUTE] GET /api/visualdev/integratetask/{id}/noderetry (integratetask.node-retry)
[ROUTE] GET /api/visualdev/integratetask/queuelist (integratetask.queue-list)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/{id} (onlinedev.info)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/{id}/datachange (onlinedev.details)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/columndata (onlinedev.column-data)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/config (onlinedev.data)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/formdata (onlinedev.form-data)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/historyconfig (onlinedev.history-data)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/importpreview (onlinedev.import-preview)
[ROUTE] GET /api/visualdev/onlinedev/{modelid}/templatedownload (onlinedev.template-download)
[ROUTE] GET /api/visualdev/onlinedev/app/{modelid}/{id} (app.info)
[ROUTE] GET /api/visualdev/onlinedev/app/{modelid}/{id}/datachange (app.details)
[ROUTE] GET /api/visualdev/onlinedev/app/{modelid}/columndata (app.column-data)
[ROUTE] GET /api/visualdev/onlinedev/app/{modelid}/config (app.data)
[ROUTE] GET /api/visualdev/onlinedev/app/{modelid}/formdata (app.form-data)
[ROUTE] GET /api/visualdev/onlinedev/app/create-first-columns-header (app.create-first-columns-header)
[ROUTE] GET /api/visualdev/onlinedev/create-first-columns-header (onlinedev.create-first-columns-header)
[ROUTE] GET /api/visualdev/portal (portal.list)
[ROUTE] GET /api/visualdev/portal/{id} (portal.info)
[ROUTE] GET /api/visualdev/portal/{id}/auth (portal.info-auth)
[ROUTE] GET /api/visualdev/portal/manage/selector/{systemid} (portal.manage-selector)
[ROUTE] GET /api/visualdev/portal/selector (portal.selector)
[ROUTE] GET /api/visualdev/portal/systemfilter/{id} (portal.system-filter)
[ROUTE] GET /api/visualdev/shortlink/{id} (shortlink.info)
[ROUTE] GET /api/visualdev/shortlink/{modelid}/{id}/datachange (shortlink.info-with-data-change)
[ROUTE] GET /api/visualdev/shortlink/{modelid}/config (shortlink.config)
[ROUTE] GET /api/visualdev/shortlink/getconfig/{id} (shortlink.config)
[ROUTE] GET /api/visualdev/shortlink/trigger/{id} (shortlink.link)
[ROUTE] POST /api/visualdev/base (base.)
[ROUTE] POST /api/visualdev/base/{id}/actions/copy (base.actions-copy)
[ROUTE] POST /api/visualdev/base/{id}/actions/release (base.func-to-menu)
[ROUTE] POST /api/visualdev/base/{id}/mainversion (base.main-version)
[ROUTE] POST /api/visualdev/dashboard/flowtodocount (dashboard.flow-todo-count)
[ROUTE] POST /api/visualdev/dashboard/notice (dashboard.notice)
[ROUTE] POST /api/visualdev/generater/{id}/actions/codepreview (generater.code-preview)
[ROUTE] POST /api/visualdev/generater/{id}/actions/downloadcode (generater.download-code)
[ROUTE] POST /api/visualdev/hooks/{id} (hooks.web-hook-trigger)
[ROUTE] POST /api/visualdev/hooks/{id}/params/{randomstr} (hooks.webhook-params)
[ROUTE] POST /api/visualdev/integrate (integrate.)
[ROUTE] POST /api/visualdev/integrate/{id}/actions/copy (integrate.actions-copy)
[ROUTE] POST /api/visualdev/integrate/{id}/actions/export (integrate.actions-export)
[ROUTE] POST /api/visualdev/integrate/actions/import (integrate.actions-import)
[ROUTE] POST /api/visualdev/integrate/executenotice (integrate.execute-notice)
[ROUTE] POST /api/visualdev/integrate/messagenotice (integrate.message-notice)
[ROUTE] POST /api/visualdev/onlinedev/{modelid} (onlinedev.)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/actions/export (onlinedev.actions-export)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/actions/exportdata (onlinedev.export-data)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/actions/templatedatadownload (onlinedev.template-data-download)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/importdata (onlinedev.import-data)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/importexceptiondata (onlinedev.export-exception-data)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/list (onlinedev.list)
[ROUTE] POST /api/visualdev/onlinedev/{modelid}/listlink (onlinedev.list-link)
[ROUTE] POST /api/visualdev/onlinedev/actions/import (onlinedev.actions-import)
[ROUTE] POST /api/visualdev/onlinedev/app/{modelid} (app.)
[ROUTE] POST /api/visualdev/onlinedev/app/{modelid}/actions/export (app.actions-export)
[ROUTE] POST /api/visualdev/onlinedev/app/{modelid}/actions/exportdata (app.export-data)
[ROUTE] POST /api/visualdev/onlinedev/app/{modelid}/list (app.list)
[ROUTE] POST /api/visualdev/onlinedev/app/actions/import (app.actions-import)
[ROUTE] POST /api/visualdev/onlinedev/app/batchdelete/{modelid} (app.batch-delete)
[ROUTE] POST /api/visualdev/onlinedev/app/excel-create-model/{excelname} (app.excel-create-model)
[ROUTE] POST /api/visualdev/onlinedev/batchdelete/{modelid} (onlinedev.batch-delete)
[ROUTE] POST /api/visualdev/onlinedev/excel-create-model/{excelname} (onlinedev.excel-create-model)
[ROUTE] POST /api/visualdev/onlinedev/uploader (onlinedev.uploader)
[ROUTE] POST /api/visualdev/portal (portal.)
[ROUTE] POST /api/visualdev/portal/{id}/actions/copy (portal.actions-copy)
[ROUTE] POST /api/visualdev/portal/{modelid}/actions/export (portal.actions-export-data)
[ROUTE] POST /api/visualdev/portal/actions/import (portal.actions-import-data)
[ROUTE] POST /api/visualdev/shortlink/{modelid} (shortlink.)
[ROUTE] POST /api/visualdev/shortlink/{modelid}/listlink (shortlink.list-link)
[ROUTE] POST /api/visualdev/shortlink/checkpwd (shortlink.check-pwd)
[ROUTE] PUT /api/visualdev/base/{id} (base.)
[ROUTE] PUT /api/visualdev/integrate/{id} (integrate.)
[ROUTE] PUT /api/visualdev/integrate/{id}/actions/state (integrate.state)
[ROUTE] PUT /api/visualdev/integratetask/{id}/retry (integratetask.retry)
[ROUTE] PUT /api/visualdev/onlinedev/{modelid}/{id} (onlinedev.)
[ROUTE] PUT /api/visualdev/onlinedev/app/{modelid}/{id} (app.)
[ROUTE] PUT /api/visualdev/onlinedev/batchupdate/{modelid} (onlinedev.batch-update)
