table_name,asset_class,status,candidate_module,physical_writer_module,evidence,ruling_ref
"ai_entity_field","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_ir_events","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_ir_fragment_snapshots","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_projects","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_route_table","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_seed_templates","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_skill_llm_policy","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"ai_skill_runs","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_advanced_query_scheme","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"BASE_AI_AGENT_CONFIG","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_AGENT_SKILL","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_Call_LOG","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_EVAL_CASE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_EVAL_GOLDEN_SET","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_EVAL_RUN","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_GENERATED_PROJECT","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_MCP_CONFIG","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_MODEL_PROVIDER","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_MODEL_ROUTING","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_PIPELINE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_PIPELINE_MESSAGE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_PIPELINE_S2_PROGRESS","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_PIPELINE_STAGE_CONFIG","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_PROMPT_TEMPLATE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_SKILL_REVIEW","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"BASE_AI_UI_TEMPLATE","P0","CONFIRMED_CODE","JNPF.AiAssistant","modularity/inteAssistant","SugarTable entity: modularity/inteAssistant","ruling 2026-08-26"
"base_api_log","P0","CONFIRMED_CODE","JNPF.PlatformLogs","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_app_data","P0?","UNKNOWN_SEMANTICS","","modularity/app","SugarTable entity: modularity/app",""
"base_authorize","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_bill_rule","P0?","UNKNOWN_SEMANTICS","","modularity/system","SugarTable entity: modularity/system",""
"base_columns_purview","P0","CONFIRMED_CODE","JNPF.Authorization","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_common_fields","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_common_words","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_data_interface","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_data_interface_log","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_data_interface_oauth","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_data_interface_user","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_data_interface_variate","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_db_link","P0","CONFIRMED_CODE","JNPF.Integration","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_dictionary_data","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
"base_dictionary_type","P0","CONFIRMED_CODE","JNPF.Dictionary","modularity/system","SugarTable entity: modularity/system","ruling 2026-08-26"
