"table_name","disposition","product_asset_class","asset_lifecycle","platform_role","db_rows","db_cols","tenant_style","pk_type","entity_mapped","write_owner","read_consumers","api_exposed","code_owner","creation_source"
"ai_entity_field","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","824","26","F_TenantId","nvarchar","Y","inteAssistant;other","inteAssistant;other","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260708_P9_Domain1_Entity_Field.sql"
"ai_ir_events","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","3780","14","F_TenantId","nvarchar","Y","other","inteAssistant;other","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql"
"ai_ir_fragment_snapshots","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","782","13","F_TenantId","nvarchar","Y","inteAssistant","inteAssistant;other","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql"
"ai_projects","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","329","19","F_TenantId","nvarchar","Y","inteAssistant","inteAssistant","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql"
"ai_route_table","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","328","10","F_TenantId","nvarchar","Y","inteAssistant","inteAssistant","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260704_Phase1_IR_Infrastructure.sql"
"ai_seed_templates","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","40","9","NONE","nvarchar","Y","","inteAssistant","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260718_Phase2_Skills_Infrastructure.sql"
"ai_skill_llm_policy","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","9","8","NONE","nvarchar","Y","","inteAssistant","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260801_Phase3_Design_Skills.sql"
"ai_skill_runs","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","373","11","F_TenantId","nvarchar","Y","inteAssistant","inteAssistant","Y","inteAssistant","backend/modularity/inteAssistant/Migrations/20260718_Phase2_Skills_Infrastructure.sql"
"base_advanced_query_scheme","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","2","18","f_tenant_id","nvarchar","Y","","","Y","system","DB/ZXAFINIT.sql"
"BASE_AI_AGENT_CONFIG","ENTER","P0_PLATFORM_CORE","MANDATORY","CORE","5","19","NONE","bigint","Y","inteAssistant","inteAssistant","Y","inteAssistant","DB/ZXAFINIT.sql"
