"TableName","Category","EntityMapped","RowCount"
"PROCESSED_EVENT","infrastructure","NO","0"
"SchemaVersions","infrastructure","NO","2"
"SYS_EVENT_OUTBOX_MESSAGE","infrastructure","YES","0"
"SYS_PROCESSED_EVENT","infrastructure","YES","0"
"undo_log","infrastructure","NO","0"
"inte_assistant_attachment","inteAssistant","YES","55"
"inte_assistant_deliverable","inteAssistant","YES","269"
"ai_entity_field","inteAssistant-AI","YES","824"
"ai_ir_events","inteAssistant-AI","YES","3780"
"ai_ir_fragment_snapshots","inteAssistant-AI","YES","782"
"ai_projects","inteAssistant-AI","YES","329"
"ai_route_table","inteAssistant-AI","YES","328"
"ai_seed_templates","inteAssistant-AI","YES","40"
"ai_skill_llm_policy","inteAssistant-AI","YES","9"
"ai_skill_runs","inteAssistant-AI","YES","373"
"BASE_AI_AGENT_CONFIG","inteAssistant-AI","YES","5"
"BASE_AI_AGENT_SKILL","inteAssistant-AI","YES","0"
"BASE_AI_CALL_LOG","inteAssistant-AI","YES","1502"
"BASE_AI_EVAL_CASE","inteAssistant-AI","NO","4"
"BASE_AI_EVAL_GOLDEN_SET","inteAssistant-AI","YES","1"
"BASE_AI_EVAL_RUN","inteAssistant-AI","NO","0"
"BASE_AI_GENERATED_PROJECT","inteAssistant-AI","YES","328"
"BASE_AI_MCP_CONFIG","inteAssistant-AI","YES","0"
"BASE_AI_MODEL_PROVIDER","inteAssistant-AI","YES","5"
"BASE_AI_MODEL_ROUTING","inteAssistant-AI","YES","5"
"BASE_AI_PIPELINE","inteAssistant-AI","YES","409"
"BASE_AI_PIPELINE_MESSAGE","inteAssistant-AI","YES","678"
"BASE_AI_PIPELINE_S2_PROGRESS","inteAssistant-AI","YES","3"
"BASE_AI_PIPELINE_STAGE_CONFIG","inteAssistant-AI","YES","5"
"BASE_AI_PROMPT_TEMPLATE","inteAssistant-AI","YES","0"
"BASE_AI_SKILL_REVIEW","inteAssistant-AI","YES","0"
"BASE_AI_UI_TEMPLATE","inteAssistant-AI","YES","0"
"EVAL_METRIC","inteAssistant-eval","YES","0"
"BASE_IR_EDIT_PATCH","inteAssistant-IR","YES","0"
"BASE_IR_VERSION","inteAssistant-IR","YES","0"
"BASE_KNOWLEDGE_EDGE","inteAssistant-KG","YES","0"
"BASE_KNOWLEDGE_NODE","inteAssistant-KG","YES","0"
"BASE_KNOWLEDGE_RULE","inteAssistant-KG","YES","0"
"kg_pattern","inteAssistant-KG","NO","0"
"kg_pattern_usage","inteAssistant-KG","NO","0"
"sa_assumptions","inteAssistant-SA-output","NO","14"
"sa_business_process","inteAssistant-SA-output","NO","19"
"sa_consistency","inteAssistant-SA-output","NO","15"
"sa_data_dictionary","inteAssistant-SA-output","NO","19"
"sa_decision_table","inteAssistant-SA-output","NO","172"
"sa_dfd","inteAssistant-SA-output","NO","19"
"sa_er","inteAssistant-SA-output","NO","19"
"sa_pspec","inteAssistant-SA-output","NO","172"
"sa_quality_score","inteAssistant-SA-output","NO","14"
"sa_scope","inteAssistant-SA-output","NO","19"
"sa_state_machine","inteAssistant-SA-output","NO","19"
"sa_ui","inteAssistant-SA-output","NO","210"
"sa_validation_log","inteAssistant-SA-output","NO","0"
"BASE_STUDIO_MENU","inteAssistant-studio","YES","54"
"BASE_STUDIO_MENU_BAK_20260617","inteAssistant-studio","NO","54"
"blade_visual","other","YES","77"
"base_advanced_query_scheme","system-core","YES","2"
"base_api_log","system-core","YES","39"
"base_app_data","system-core","YES","0"
"base_authorize","system-core","YES","2553"
"base_bill_rule","system-core","YES","61"
"base_columns_purview","system-core","YES","1"
"base_common_fields","system-core","YES","10"
"base_common_words","system-core","YES","0"
"base_data_interface","system-core","YES","146"
"base_data_interface_log","system-core","YES","0"
"base_data_interface_oauth","system-core","YES","1"
"base_data_interface_user","system-core","YES","1"
"base_data_interface_variate","system-core","YES","1"
"base_db_link","system-core","YES","1"
"base_dictionary_data","system-core","YES","897"
"base_dictionary_type","system-core","YES","145"
"base_file","system-core","NO","0"
"BASE_FOUNDER_AUTH_LOG","system-core","YES","13"
"base_group","system-core","YES","1"
"base_im_content","system-core","YES","9"
"base_im_reply","system-core","YES","2"
"base_integrate","system-core","YES","3"
"base_integrate_node","system-core","YES","0"
"base_integrate_queue","system-core","YES","0"
"base_integrate_task","system-core","YES","0"
"BASE_MENU_BADGE","system-core","YES","0"
"base_message","system-core","YES","1229"
"base_module","system-core","YES","210"
"base_module_authorize","system-core","YES","8"
"base_module_button","system-core","YES","34"
"base_module_column","system-core","YES","6"
"base_module_form","system-core","YES","6"
"base_module_link","system-core","YES","2"
"base_module_scheme","system-core","YES","8"
"base_msg_account","system-core","YES","4"
"base_msg_monitor","system-core","YES","147"
"base_msg_send","system-core","YES","24"
"base_msg_send_template","system-core","YES","23"
"base_msg_short_link","system-core","YES","0"
"base_msg_sms_field","system-core","YES","0"
"base_msg_template","system-core","YES","26"
"base_msg_template_param","system-core","YES","78"
"base_msg_wechat_user","system-core","YES","0"
"base_notice","system-core","YES","3"
"base_organize","system-core","YES","6"
"base_organize_administrator","system-core","YES","5"
"base_organize_relation","system-core","YES","0"
"base_permission_group","system-core","YES","5"
"base_portal","system-core","YES","2"
"base_portal_data","system-core","YES","9"
"base_portal_manage","system-core","YES","2"
"base_position","system-core","YES","2"
"base_print_log","system-core","YES","21"
"base_print_template","system-core","YES","5"
"base_province","system-core","YES","47512"
"base_province_atlas","system-core","YES","3210"
"base_role","system-core","YES","9"
"BASE_SANDBOX","system-core","NO","0"
"base_schedule","system-core","YES","0"
"base_schedule_log","system-core","YES","0"
"base_schedule_user","system-core","YES","0"
"base_sign_img","system-core","YES","0"
"base_signature","system-core","YES","0"
"base_signature_user","system-core","YES","0"
"base_socials_users","system-core","YES","0"
"base_syn_third_info","system-core","YES","0"
"base_sys_config","system-core","YES","74"
"base_sys_log","system-core","YES","12615"
"base_system","system-core","YES","7"
"BASE_TENANT_GLOSSARY","system-core","NO","0"
"BASE_TENANT_INDUSTRY","system-core","NO","0"
"base_time_task","system-core","YES","0"
"base_time_task_log","system-core","YES","22"
"base_user","system-core","YES","45"
"base_user_device","system-core","YES","0"
"base_user_old_password","system-core","YES","0"
"base_user_relation","system-core","YES","82"
"base_visual_dev","system-core","YES","48"
"base_visual_filter","system-core","NO","0"
"base_visual_link","system-core","YES","0"
"base_visual_release","system-core","YES","25"
"domain_model","system-core","NO","0"
"zx_sys_config","system-core","YES","2"
"zx_sys_db","system-core","NO","5"
"zx_system_db","system-core","YES","0"
"Demo_ExcelTest","system-demo","NO","3"
"Demo_Order","system-demo","NO","151"
"Demo_OrderDetail","system-demo","NO","60"
"student","system-demo","NO","4"
"ext_big_data","system-extension","YES","0"
"ext_customer","system-extension","YES","7"
"ext_document","system-extension","YES","4"
"ext_document_share","system-extension","YES","0"
"ext_email_config","system-extension","YES","1"
"ext_email_receive","system-extension","YES","0"
"ext_email_send","system-extension","YES","0"
"ext_employee","system-extension","YES","0"
"ext_order","system-extension","YES","9"
"ext_order_entry","system-extension","YES","6"
"ext_order_receivable","system-extension","YES","1"
"ext_product","system-extension","YES","3"
"ext_product_classify","system-extension","YES","6"
"ext_product_entry","system-extension","YES","12"
"ext_product_goods","system-extension","YES","10"
"ext_project_gantt","system-extension","YES","0"
"ext_table_example","system-extension","YES","33"
"ext_work_log","system-extension","YES","0"
"ext_work_log_share","system-extension","YES","0"
"mt543406707183714245","system-legacy-snowflake","NO","2"
"mt543408365615710149","system-legacy-snowflake","NO","64"
"mt543552698159464389","system-legacy-snowflake","NO","32"
"mt543668771097673669","system-legacy-snowflake","NO","2"
"mt543971603646513093","system-legacy-snowflake","NO","0"
"WH_BasicData","system-warehouse-legacy","NO","208"
"WH_Bill","system-warehouse-legacy","NO","2"
"WH_BillAutoID","system-warehouse-legacy","NO","4"
"WH_BillDetail","system-warehouse-legacy","NO","4"
"WH_CheckBillDetail","system-warehouse-legacy","NO","19"
"WH_Customer","system-warehouse-legacy","NO","1"
"WH_CustomerClass","system-warehouse-legacy","NO","2"
"WH_Depot","system-warehouse-legacy","NO","2"
"WH_DepotMaterial","system-warehouse-legacy","NO","2"
"WH_Dept","system-warehouse-legacy","NO","2"
"WH_Material","system-warehouse-legacy","NO","4"
"WH_MaterialClass","system-warehouse-legacy","NO","1"
"WH_Project","system-warehouse-legacy","NO","1"
"WH_RemoveBill","system-warehouse-legacy","NO","8"
"WH_RemoveBillDetail","system-warehouse-legacy","NO","13"
"WH_StorageType","system-warehouse-legacy","NO","4"
"WH_Supplier","system-warehouse-legacy","NO","1"
"WH_SupplierClass","system-warehouse-legacy","NO","3"
"WM_BasicData","system-warehouse-legacy","NO","29"
"WM_Bill","system-warehouse-legacy","NO","151"
"WM_BillAutoID","system-warehouse-legacy","NO","4"
"WM_BillDetail","system-warehouse-legacy","NO","1629"
"WM_CheckBill","system-warehouse-legacy","NO","1"
"WM_CheckBillDetail","system-warehouse-legacy","NO","1613"
"WM_Client","system-warehouse-legacy","NO","1"
"WM_ClientClass","system-warehouse-legacy","NO","0"
"WM_Depot","system-warehouse-legacy","NO","1"
"WM_DepotMaterial","system-warehouse-legacy","NO","0"
"WM_Dept","system-warehouse-legacy","NO","1"
"WM_Employee","system-warehouse-legacy","NO","3"
"WM_Material","system-warehouse-legacy","NO","739"
"WM_Project","system-warehouse-legacy","NO","0"
"WM_RemoveBill","system-warehouse-legacy","NO","5"
"WM_RemoveBillDetail","system-warehouse-legacy","NO","7"
"WM_StorageClass","system-warehouse-legacy","NO","9"
"WM_StorageType","system-warehouse-legacy","NO","8"
"WM_Supplier","system-warehouse-legacy","NO","1"
"WM_SupplierClass","system-warehouse-legacy","NO","0"
"WM_TaxRate","system-warehouse-legacy","NO","0"
"BASE_REPORT","visualdata","YES","5"
"blade_visual_category","visualdata","YES","2"
"blade_visual_component","visualdata","YES","42"
